country,city,accentCity,region,population,latitude,longitude
ad,b'gAAAAABji5lP5VcpGEYNfsdf3O3Zd0JVXKRzFQ-MDXNRLI4uTWi8xR3Hhi5yYrgrWmoCjYkiQkkFvlphK5fwAcIbDVWWZNH5GA==',Fontaneda,06,,42.45,1.4666667
ad,b'gAAAAABji5lPDDxtQwJPcSI_bapznerVDiXlWRDPCDec6nH8hAsYqG1Hb1DpqPq6MQBz1j2IrIjFcgMKzEHhM9T9sRzU6kQlTA==',Juberri,06,,42.4333333,1.5
ad,b'gAAAAABji5lPfkuGEChiWsJLgobMHk028rmOsGD2o3A2NKedM-XYj9Ds5GDemuTA6Fhbd2-4J1-EWO0feEaZhmPTMlnD6sB8VA==',Juverri,06,,42.4333333,1.5
ad,b'gAAAAABji5lPj7ulLJ4v7QCFRS-kW_Xd-H4onH5SIRVVf0DEDZgdjYYJo04G7n7mPLEBsIp7Eo2egf75GS2IECfNQLP_BNGrbQ==',La Cortinada,04,,42.5666667,1.5166667
ad,b'gAAAAABji5lPaIyCWh2TUIl6zRi0DGNeNDtdwC0kMMvqeQ4SXn98H3tc0EEPCkYv9qRw1fD_Zw1xaf9k6PD6_jXrlUY8fw83bQ==',La Costa,02,,42.5833333,1.6333333
ad,b'gAAAAABji5lPnlE8cJqFft-Pn8g0ICGt6t6RwIWmd5RSv5zu0VWKms5PleNutdqyyZ9EOErei-W3i4GXEph2xnB41AnyLx0XZQ==',L'Aldosa,02,,42.5833333,1.6333333
ad,b'gAAAAABji5lPBMsXSoFvsgl744zdDB_p0RREWPp7STWiKooFsRC1Teml2IfI3C548izG3kQn1QVMJmtmnNd3SKfjMExzR94APg==',L'Aldosa,05,,42.55,1.5333333
ad,b'gAAAAABji5lP1mt_A2j3HN5sHkyeEQg878v94X1v0l7LIZpRfLVqY77M46cQ4NTat1DQBDNuuYffzRBObcol5DnyL3qhn69Z_A==',La MaÃ§ana,04,,42.55,1.5166667
ad,b'gAAAAABji5lPrIbXalbSkFJECarWynTL8HgM2el0nonbxh4u3dNlqnpkuIYcizgQROZbQGgEi4pM_mXAqM05iLFO42B1_g3RpQ==',La Massana,04,7211.0,42.55,1.5166667
ad,b'gAAAAABji5lPU0M3OURf2wbN282eyIKcfQ3Wu6rtVTuyd2lhTai84vjTsuIaudUCapyWeOhDjUIpOlHfLczGgtXNtKl-77HYTA==',Las Escadas,08,,42.5,1.5333333
ad,b'gAAAAABji5lPg81UMpiCz1jH9IbJ0MGN5BshP1Gegd_SPx8hNl59iXQFN378slkNNSiB4Kl86b0S24SmguTZy2R0-akrT04gTw==',la Vieja,07,,42.5,1.5166667
ad,b'gAAAAABji5lP48VDjy6VV8_kI9rXQveS09XqufhEPqyLoa5coZ-iLADSV0Ev4GZ9LfEm_JAk8bipO6-LWSIlSDhnb5rwSg_YtQ==',Les Bons,03,,42.533333299999995,1.5833333
ad,b'gAAAAABji5lPXWkr6nqonZIZhZyryMhM5B8moR9nkSijnt4ao-8gEtZP0ewPif7rTUl7uYFo8s_3K1PfU1whv4s-9i5qoAHlWw==',Les Escaldes,08,15854.0,42.5,1.5333333
ad,b'gAAAAABji5lPeY5gKvviDyaP5SZh5rHiJjLIZkLU9u_Mo78cTmd36t5yCzqHSy67BWSUxY2nDOtphM_OnaczBlrEGOYzkxzLYA==',Llors,04,,42.6,1.5333333
ad,b'gAAAAABji5lPw_bqkqqMhVrdyAoFGG64IJ6fIS9rJSihvTbnUv_kBOGsrWBpTi_YUa1XoTfAxukT5urohEkVeEDxRV3wAKO-og==',Llorta,04,,42.6,1.5333333
ad,b'gAAAAABji5lPzwdkiEIevDmjib87f5d4_j784DG6CyiXIJFwEz-dTJb164EaYBCWbqMM_YRNDxMtKbIUA9VUTARNKTPWai4enw==',Llorts,04,,42.6,1.5333333
ad,b'gAAAAABji5lPDkpxD2AuAmmqH0b8eQVIWY58SnlRscEZzQms6N_F9lc6NXqbeimyk0e1zGJYtf7aE_FbgQjUOf_OfgxROx6aNA==',Llumeneres,06,,42.466666700000005,1.5166667
ad,b'gAAAAABji5lPbcL_pmkQ3ZE8E1bM1nzGv5ADwc4QsiXB-1Csrsk0oirJezfaDGRhbDWd1oUsDOcC9kF3O34r4LB0dF8PzHMDbg==',Lors,04,,42.6,1.5333333
ad,b'gAAAAABji5lPUogF-rUTbxIoaucqExhGkjTGipsI-dCW6nScrqJ0zfCKeBsejZ4cRbzpofoojDs6LY7cdYyDeEYuXZLPEtXJyg==',Lo Serrat,04,,42.6166667,1.55
ad,b'gAAAAABji5lPRNCtT_crh74aHCAZ1suJWkwMZ51pcnaU90DMkHECM9FI9U0LBktwkrGuyStGwXiP7Ie1tiYC6KjeGxSpsy70EQ==',Mas d'Alins,06,,42.4333333,1.45
ad,b'gAAAAABji5lPge2uXRvIwBQmn3s31MyDldQ2zf0ztwcd_X1LHso0y875rT3EGf8egYBA1rNbPC-KASoxWbsgVuPI038hsXxl1Q==',Mas de Ribafeta,04,,42.5666667,1.4833333
ad,b'gAAAAABji5lPp1pwxlSK0ba_KQGvQ5S4n9pKGTOU6RMrq_y6_hLGlO3i7w8Ru_9nX5YIa7G0kmSX2RxiWZBe5CvZwgGqvFw2ig==',Meritxell,02,,42.55,1.6
ad,b'gAAAAABji5lPH0SSkd2Lvx9_cyOHlJOQp8dIODUJtYsjKe8wYgiH2yNTqdQK46qLsLb5RAIrYffCjRwv3Fa-mIGZ6z5KoDwRPg==',Molleres,03,,42.55,1.5833333
ad,b'gAAAAABji5lPrIRB_33MM5uv4UVACvlqjxdxjJ0i8kIeZVDwPjKAD9iDd5ZfMY9dW5NZ6fHNbr296NDHJ8-e2DY-XKWj-7vRDg==',Mosquera,03,,42.55,1.5833333
ad,b'gAAAAABji5lP9l6iIQuW5UMDVh3EVL48yasbqrZZrxoDGo0HBBLR5CHDhYyvxg3iV5Ha806x--0fztxnqH0nPFbZ94qCeSe6LA==',Nagol,06,,42.466666700000005,1.5
ad,b'gAAAAABji5lPuNEAs_nJzbuM3YRXwo1oXKjjeeIWywuvyXE-gCHs2b3GM-If7XhF6OKcB1uLSuaFHfSVcsXP8c_n_wPShAaTAA==',Ordino,05,2553.0,42.55,1.5333333
ad,b'gAAAAABji5lPQoG81AygL41K4889974vGFCF395e2E42A0RdEHqAQHtcVweR2QZ2CcjC4ohJdsFPbKobjJ1vNIzxUb8Z6iBxSA==',Pal,04,,42.55,1.4833333
ad,b'gAAAAABji5lPxoEQwCmTfx7lc_--wWrdi3Yq51t1MC7qgPt4zZQTryWz1vJLYdSPzXS_mqAqP7XrCJo4gAmVSoTAF95oemS4mw==',Pas de la Casa,02,,42.55,1.7333333
ad,b'gAAAAABji5lPtzM-rjkTAkaObEh6fRyD5MmfYYPCQudQao_lE7Ylmlv3cx1mRufL4KOiqtdvSTd7RYs6X0rq89bIoOQFBsmMfg==',Prats,02,,42.5666667,1.6
ad,b'gAAAAABji5lPr-AwEwNYMSMJfet4Hyj0nbeozbYidfFbv_F3055SfU0GZ5r19ut90UAFgBZVGMH6cYBJqKILsJNL3aMKbTrduQ==',Puiol del Piu,04,,42.5666667,1.5
ad,b'gAAAAABji5lPkBjKXKEIjzurlDSrls2PCNFfXeCR5k3_z0draMyfqoekIpy3-t_IL705K71NVZn_tIa5ql-x5StvA3dYfeTpIg==',Ransol,02,,42.5833333,1.6333333
ad,b'gAAAAABji5lPFS3e2e2J-Ey7WrLywnO4wl46BSB3CPO3VuDEzsBwt7K2--ar2U15h-YKfTyqZl1VKW-9pGUKYvphhsPXhUtgGQDTa1lJfezJuCF552RxS6E=',Sanctuaire de Meritxeli,02,,42.55,1.6
ad,b'gAAAAABji5lPniNZtpEapjmPcqYhSysLAX0SU3UletjRsS8xkWESzg9GBtDJjQ32cjIGpCdHCWonbF4mLaUYQ6wDGLyVbFp22fnmVBxm-qXDe2r1sf6M08M=',Sanctuaire de Meritxell,02,,42.55,1.6
ad,b'gAAAAABji5lPSHeSeWvTecK9Vm_U1cEB14PfyUP9qHcbe4ejcIYVYoLmI6rLKfFJlp_oCSLgBKvD7F_sKWPQe7yjLADhZZvRJy_bM1gvknXEtHIahiQORCA=',San Joan de Casettas,02,,42.5666667,1.6166667
ad,b'gAAAAABji5lP7T9Zepb62Nh0zbAJYN8wjmPgZ9tu60P7EeFOUhjoYqLuASEZho5qHZCI1-jeD6AURe_uCFYx8GGREX8EWbCicg==',San JuliÃ¡,06,,42.466666700000005,1.5
ad,b'gAAAAABji5lPmCIBc2fvOl6AZ4HukE_iNSG8fZAqKRjKRLdKXu3xXGe9ksx9phHtsIvsDuaWIccBr17dlCoB0Rh9waNm9UU5-A==',Santa Coloma,07,,42.5,1.5
ad,b'gAAAAABji5lPM2YD74LThmHdyQatQWChfEnSUW8wtEj7CrwwP-82R2a503ZbqMdvIb6alUqnxJ-pPEmfpzsR3UGkxkmkl0Wv_TOv0jZuq8qzMzNpmoVG-dI=',Santa JuliÃ¡ de Loria,06,,42.466666700000005,1.5
ad,b'gAAAAABji5lP04TG0QqjrYvP6fKyGE7ld3Aq5HAJldWp3KRXDC6SXbNUeiZvDSipR0t1gGUWjpadoYsd2YQ1dxXhRb7_I60lBw18CoShsUlHZdeEeEGMVpA=',Sant Joan de Casellas,02,,42.5666667,1.6166667
ad,b'gAAAAABji5lPGpaR__WumOOD3fYFMcRIua8gGYIns11idNHNOhjdvC_bfvPV3tMvBWEPS0UCboaAURBudCMqr_PiHGTQCWwNfMju138cWkq7IJ8V9DxiyM8=',Sant Joan de Caselles,02,,42.5666667,1.6166667
ad,b'gAAAAABji5lP5oIDl--WJwPh9rUFxhb3Zzx2MIvQwpvCz-FWoDo_8FIFYcCzFz4uscP6FLKEi1V9ZwPlg8W-ZjEb7UyjnYW5Ki9_x0L_7b1_YgO6M_NChLo=',Sant JuliÃ  de LÃ²ria,06,8020.0,42.466666700000005,1.5
ad,b'gAAAAABji5lPyxR7i4IDmNH6qiiL8dlsBG0UJnOeVg60lKgCYRbtY0zpYjaOLHoaY0u6FiFpkNi4D-Pxl-vDu6PEBiwMej9nnQ==',Sant JuliÃ¡,06,,42.466666700000005,1.5
ad,b'gAAAAABji5lPO-33bwp5uTUMclu3fMTKar88KDaOR0AvfM7MKaBher3J5RknnjP6x0lrZLi3nQrBSp8b5lHRgh1C27a8ByZ6dg==',Sant Pere,02,,42.5833333,1.65
ad,b'gAAAAABji5lPy05oOLQTRsQkPGXnqj83Wv5gvzOowvlQnA1nWRx-wLcUuc5y4F5FMAWdqLPymqwn2FjPMfTvjrxMiIi1e3vnG-aH2zTG7pEWFAcW0NkD_7w=',Santuari de Meritxell,02,,42.55,1.6
ad,b'gAAAAABji5lPR6ECgwiIOklJNtD5ICvfhRzjiv197t1s8ifdrD5Mdw40mdY-D_Kq_DymQVSPpbz_OAAih4zaZakLwctnQ0hCSQ==',Segudet,05,,42.55,1.5333333
ad,b'gAAAAABji5lPjJlq6a3HeQNCG4sv6BIGQSPVjZ7D38Oco8Lb5p0UbmyWYgajktjTdXC3HTUpBWSx0tliXttkyFLUK4t4xyDEzA==',Sertes,06,,42.466666700000005,1.5
ad,b'gAAAAABji5lPekOYPCLitngAbIqAsFAb50YsRFJE6vjC_uoNPnSCbiLgoYZSY81qxOvM09HW8Jmm7KD2U163OBeSJtHmrEhUKQ==',Sispony,04,,42.533333299999995,1.5166667
ad,b'gAAAAABji5lPQ8QQZvkCpaKIY34Xz89QKGB85cA-WYUwp7lLFpHvgRPlQYhmirErnGW4aviN9au-co6EQ6enhNNGKF57MWc8aw==',Soldeu,02,,42.5833333,1.6666667000000002
ad,b'gAAAAABji5lPl3KAKTt7AkWqqkVyw29STI7KHQGdgGnUnL2EdrS-xYwU7BOlI-uqS5sNzRWFF1ktEWfonYkbrWNfbqhbMHNn9g==',SornÃ s,05,,42.5666667,1.5333333
ad,b'gAAAAABji5lPuR1aLaN_5pWLEk4M3O9nfXLnz88vSNEV1xN1Xj3nvScnDRZvLl17t4Ns-ogNhysksd3Djq9FQcocm-BwozdCvw==',Vila,03,,42.533333299999995,1.5666666999999999
ad,b'gAAAAABji5lP17QIIJvX1YIT224gNPYA7QFdW6Nl5KJLReTS9fFxWdEvZAHzO5Quqqt6szRv7JwVGzS8cDHyQakJgwN90GbFGg==',Vixesarri,06,,42.4833333,1.4666667
ad,b'gAAAAABji5lPvdGs1dHd3Re8M24hBx3Oamatco-WsiWlZwqQxu0lDt2tfgd5mTuMcmAFmAeb4tdHzjCdOlQv1ddsPFC8bQyyGA==',Xixerella,04,,42.55,1.4833333
